fcVAE;Channel;ARI;AMI;NMI;Homogeneity;Completeness;V-measure;beta;model
4;16;0,403;0,699;0,701;0,895;0,576;0,701;0,00001;best
7;16;0,520;0,730;0,731;0,880;0,625;0,731;0,0001;best
8;4;0,524;0,751;0,752;0,905;0,644;0,752;0,00001;best
9;4;0,513;0,714;0,716;0,860;0,613;0,716;0,0001;best
11;6;0,520;0,739;0,741;0,887;0,636;0,741;0,0001;best
12;6;0,526;0,766;0,767;0,922;0,656;0,767;0,00005;best
13;6;0,527;0,767;0,768;0,923;0,657;0,768;0,00001;best
14;6;0,510;0,703;0,704;0,849;0,602;0,704;0,001;best
15;8;0,517;0,716;0,718;0,869;0,612;0,718;0,0005;best
16;8;0,526;0,766;0,767;0,922;0,656;0,767;0,00001;best
17;8;0,514;0,715;0,716;0,861;0,613;0,716;0,001;best
18;8;0,525;0,752;0,754;0,905;0,646;0,754;0,0001;best
28;12;0,452;0,706;0,708;0,881;0,591;0,708;0,00001;best
29;12;0,439;0,660;0,661;0,826;0,552;0,661;0,0001;best
30;12;0,522;0,741;0,742;0,894;0,634;0,742;0,0005;best
31;12;0,514;0,709;0,710;0,853;0,609;0,710;0,001;best
32;10;0,516;0,707;0,709;0,854;0,606;0,709;0,001;best
33;10;0,518;0,735;0,737;0,891;0,628;0,737;0,0001;best
34;10;0,427;0,638;0,640;0,792;0,536;0,640;0,0005;best
35;10;0,448;0,691;0,692;0,862;0,579;0,692;0,00001;best
36;14;0,445;0,680;0,681;0,851;0,568;0,681;0,00001;best
37;14;0,527;0,762;0,763;0,918;0,653;0,763;0,0001;best
38;14;0,514;0,700;0,702;0,845;0,600;0,702;0,0005;best
39;14;0,521;0,730;0,731;0,883;0,624;0,731;0,001;best
4;16;0,526;0,762;0,764;0,916;0,655;0,764;0,00001;last
7;16;0,527;0,775;0,776;0,934;0,663;0,776;0,0001;last
8;4;0,448;0,695;0,697;0,871;0,581;0,697;0,00001;last
9;4;0,522;0,740;0,741;0,893;0,634;0,741;0,0001;last
11;6;0,523;0,742;0,744;0,893;0,637;0,744;0,0001;last
12;6;0,525;0,766;0,767;0,922;0,657;0,767;0,00005;last
13;6;0,527;0,767;0,769;0,924;0,658;0,769;0,00001;last
14;6;0,515;0,716;0,718;0,863;0,614;0,718;0,001;last
15;8;0,517;0,716;0,718;0,868;0,612;0,718;0,0005;last
16;8;0,523;0,754;0,756;0,914;0,644;0,756;0,00001;last
17;8;0,516;0,721;0,722;0,872;0,616;0,722;0,001;last
18;8;0,526;0,766;0,767;0,922;0,656;0,767;0,0001;last
28;12;0,524;0,737;0,738;0,887;0,632;0,738;0,00001;last
29;12;0,527;0,759;0,761;0,915;0,651;0,761;0,0001;last
30;12;0,517;0,737;0,738;0,892;0,630;0,738;0,0005;last
31;12;0,505;0,676;0,678;0,812;0,582;0,678;0,001;last
32;10;0,500;0,663;0,665;0,794;0,572;0,665;0,001;last
33;10;0,517;0,736;0,737;0,889;0,630;0,737;0,0001;last
34;10;0,508;0,684;0,685;0,821;0,588;0,685;0,0005;last
35;10;0,523;0,746;0,747;0,897;0,640;0,747;0,00001;last
36;14;0,527;0,767;0,768;0,923;0,657;0,768;0,00001;last
37;14;0,521;0,739;0,741;0,888;0,636;0,741;0,0001;last
38;14;0,508;0,694;0,696;0,834;0,597;0,696;0,0005;last
39;14;0,512;0,696;0,698;0,841;0,596;0,698;0,001;last
